name,neme(en),category,sub-category,genre,genre,genre,genre,season,place,code,pref,city,district,address,address(kana),lat,lng,explanation,explanation(en),tel,fax,time,open,close,holiday,charge,img-url,img-url,img-url
路線バス仮停留所,,島田大祭,,,,,,,旭二丁目,,静岡県,島田市,,旭二丁目,,34.831399,138.190879,,,,,,,,,,img/icon/Bus_stop.png,,
路線バス仮停留所,,島田大祭,,,,,,,御仮屋町,,静岡県,島田市,,御仮屋町,,34.834710,138.190724,,,,,,,,,,img/icon/Bus_stop.png,,
路線バス仮停留所,,島田大祭,,,,,,,祇園町,,静岡県,島田市,,祇園町,,34.835551,138.181706,,,,,,,,,,img/icon/Bus_stop.png,,
路線バス仮停留所,,島田大祭,,,,,,,大津通,,静岡県,島田市,,大津通,,34.835498,138.179356,,,,,,,,,,img/icon/Bus_stop.png,,
路線バス仮停留所,,島田大祭,,,,,,,扇町(税務署前）,,静岡県,島田市,,扇町,,34.836339,138.173316,,,,,,,,,,img/icon/Bus_stop.png,,
路線バス仮停留所,,島田大祭,,,,,,,向島町,,静岡県,島田市,,向島町,,34.833367,138.167608,,,,,,,,,,img/icon/Bus_stop.png,,
バスターミナル,,島田大祭,,,,,,,中央町,,静岡県,島田市,,中央町,,34.836092,138.177114,,,,,,,,,,img/icon/Bus_stop.png,,
案内所,,島田大祭,,,,,,,ＪＲ島田駅北口広場,,静岡県,島田市,,日之出町,,34.830527,138.174062,,,,,,,,,,img/icon/Information.png,,
案内所,,島田大祭,,,,,,,ＪＲ島田駅南口広場,,静岡県,島田市,,横井三丁目,,34.829483,138.173654,,,,,,,,,,img/icon/Information.png,,
案内所,,島田大祭,,,,,,,おび通り北側,,静岡県,島田市,,本通四丁目,,34.832838,138.176749,,,,,,,,,,img/icon/Information.png,,
コインロッカー,,島田大祭,,,,,,,ＪＲ島田駅北口,,静岡県,島田市,,日之出町,,34.830289,138.174067,,,,,,,,,,img/icon/Coin_Locker.png,,
駅前観光案内所,,島田大祭,,,,,,,,,静岡県,島田市,,日之出町,,34.830447,138.173547,,,,,,,,,,img/icon/Information.png,,
シャトルバス発着場,,島田大祭,,,,,,,ＪＲ島田駅南口,,静岡県,島田市,,横井三丁目,,34.829633,138.173783,,,,,,,,,,img/icon/Bus_stop.png,,
お休み処,,島田大祭,,,,,,,加藤商事駐車場,,静岡県,島田市,,日之出町,,34.830945,138.173987,,,,,,,,,,img/icon/bench.png,,
お休み処,,島田大祭,,,,,,,ＪＲ島田駅北口広場,,静岡県,島田市,,日之出町,,34.830518,138.173992,,,,,,,,,,img/icon/bench.png,,
お休み処,,島田大祭,,,,,,,島田掛川信用金庫本通七丁目支店,,静岡県,島田市,,本通七丁目,,34.832425,138.180842,,,,,,,,,,img/icon/bench.png,,
大祭本部・警察本部,,島田大祭,,,,,,,ぴ～ファイブ,,静岡県,島田市,,本通五丁目,,34.832786,138.178144,,,,,,,,,,img/icon/honbu.png,,
赤ちゃん休憩所,,島田大祭,,,,,,,ぴ～ファイブ,,静岡県,島田市,,本通五丁目,,34.832838,138.178192,,,,,,,,,,img/icon/baby.png,,
赤ちゃん休憩所,,島田大祭,,,,,,,島田市地域交流センター歩歩路,,静岡県,島田市,,本通三丁目,,34.832226,138.175655,,,,,,,,,,img/icon/baby.png,,
赤ちゃん休憩所,,島田大祭,,,,,,,島田市こども館,,静岡県,島田市,,本通三丁目,,34.832394,138.174952,,,,,,,,,,img/icon/baby.png,,
トイレ,,島田大祭,,,,,,,サンカク公園,,静岡県,島田市,,日之出町,,34.831372,138.173804,,,,,,,,,,img/icon/wc.png,,
トイレ,,島田大祭,,,,,,,おび通り南側,,静岡県,島田市,,大川町,,34.831390,138.176283,,,,,,,,,,img/icon/wc.png,,
トイレ,,島田大祭,,,,,,,おび通り北側,,静岡県,島田市,,柳町,,34.833569,138.176701,,,,,,,,,,img/icon/wc.png,,
トイレ,,島田大祭,,,,,,,六商会駐車場,,静岡県,島田市,,本通六丁目,,,,,,,,,,,,,img/icon/wc.png,,
トイレ,,島田大祭,,,,,,,本通七丁目,,静岡県,島田市,,本通七丁目,,,,,,,,,,,,,img/icon/wc.png,,
トイレ,,島田大祭,,,,,,,本通七丁目（交差点付近）,,静岡県,島田市,,本通七丁目,,34.832455,138.182881,,,,,,,,,,img/icon/wc.png,,
